# Server version 0.08 running on 192.168.2.27:8123
# Game ID: 54
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Fri Apr 04 18:53:49 EDT 2014
# Player 1: Player-0, 'LDFS', running on localhost
# Player 2: Player-1, 'LDFS', running on localhost
# Player 3: Player-2, 'LDFS', running on localhost
# Player 4: Player-3, 'LDFS', running on localhost
START Player-0 LDFS
START Player-1 LDFS
START Player-2 LDFS
START Player-3 LDFS
0 (1,1) (3,3)
0 null null
1 (14,1) (12,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 null null
1 (15,1) (13,3)
1 (13,3) (11,3)
1 null null
2 (0,14) (2,12)
2 (2,12) (4,12)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (10,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (2,0) (4,2)
0 (4,2) (4,4)
0 (4,4) (6,4)
0 null null
1 (13,0) (11,2)
1 (11,2) (11,4)
1 (11,4) (9,4)
1 null null
2 (2,15) (4,13)
2 (4,13) (4,11)
2 null null
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,11)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,2)
0 (4,2) (4,4)
0 null null
1 (15,2) (13,4)
1 (13,4) (11,2)
1 (11,2) (11,4)
1 null null
2 (1,13) (3,13)
2 (3,13) (3,11)
2 null null
3 (15,12) (13,12)
3 (13,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,12)
3 (13,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,12)
3 (13,12) (11,12)
3 null null
0 (1,2) (3,2)
0 (3,2) (3,4)
0 null null
1 (12,0) (12,2)
1 (12,2) (12,4)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (12,15) (12,13)
3 (12,13) (10,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,3)
0 (6,3) (6,5)
0 null null
1 (15,3) (13,3)
1 (13,3) (11,5)
1 (11,5) (9,3)
1 (9,3) (9,5)
1 null null
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,15)
2 (3,15) (3,13)
2 null null
3 (15,13) (13,11)
3 null null
0 (2,1) (2,3)
0 (2,3) (4,5)
0 null null
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (13,1)
1 (13,1) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,5)
1 null null
2 (2,13) (4,13)
2 (4,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (4,13)
2 (4,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (4,13)
2 (4,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (4,13)
2 (4,13) (2,15)
2 (2,15) (2,13)
2 (2,13) (4,13)
2 null null
3 (14,12) (12,10)
3 (12,10) (10,10)
3 null null
0 (3,3) (5,5)
0 (5,5) (7,5)
0 (7,5) (5,3)
0 (5,3) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,5)
0 (7,5) (5,3)
0 (5,3) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,5)
0 (7,5) (5,3)
0 (5,3) (5,5)
0 (5,5) (7,5)
0 null null
1 (12,3) (10,5)
1 (10,5) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,5)
1 (10,5) (12,5)
1 (12,5) (10,3)
1 (10,3) (8,5)
1 (8,5) (10,5)
1 (10,5) (10,3)
1 (10,3) (8,5)
1 (8,5) (10,5)
1 (10,5) (10,3)
1 (10,3) (8,5)
1 null null
2 (3,14) (5,12)
2 (5,12) (5,10)
2 null null
3 (12,14) (14,14)
3 (14,14) (14,12)
3 (14,12) (12,14)
3 (12,14) (14,14)
3 (14,14) (14,12)
3 (14,12) (12,14)
3 (12,14) (14,14)
3 (14,14) (14,12)
3 (14,12) (12,14)
3 (12,14) (14,14)
3 (14,14) (14,12)
3 (14,12) (12,10)
3 (12,10) (10,12)
3 null null
0 (2,2) (3,3)
1 (14,3) (14,1)
1 (14,1) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (10,5)
1 null null
2 (0,13) (2,11)
2 null null
3 (13,14) (13,12)
3 null null
0 (3,0) (3,2)
0 null null
1 (12,1) (14,3)
1 (14,3) (14,1)
1 (14,1) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 (10,3) (12,5)
1 (12,5) (12,3)
1 (12,3) (10,3)
1 null null
2 (1,12) (3,10)
2 null null
3 (13,13) (12,13)
0 (3,4) (5,6)
0 (5,6) (7,4)
0 (7,4) (9,6)
0 null null
1 (12,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,4)
1 (8,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,4)
1 (8,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,4)
1 (8,4) (10,6)
1 (10,6) (8,6)
1 (8,6) (8,4)
1 (8,4) (6,6)
1 null null
2 (4,12) (2,10)
2 (2,10) (2,12)
2 (2,12) (4,14)
2 (4,14) (4,12)
2 (4,12) (2,10)
2 (2,10) (2,12)
2 (2,12) (4,14)
